feature,importance_mean,importance_std,mdi_importance
E2_int2A,0.18568095801778178,0.03925126737475957,0.19113826349347293
TS3A_3A,0.08709977827781488,0.024934225811040246,0.1261055268228487
E_int_2A,0.03570492838722252,0.0073008448952559275,0.051785744207193556
H1,0.03302970710672639,0.009145127025278399,0.06919241481839589
hyd4,0.01889417766047873,0.004153532300880316,0.047324564868696746
WBI_3A,0.01860860566461776,0.005217626743645726,0.03876482068675595
WBI_2A,0.017611640725141885,0.0038166282497353976,0.029306512082268154
H3,0.014030242814287582,0.005042232812944609,0.0216918255818376
E_SE_frag1_5A,0.012314518885394522,0.0039572386449912,0.028763448651866478
E_SE_frag2_TSH2,0.012295873210707277,0.0025245078110937664,0.018462247104906588
3A_4A,0.01138706144851527,0.0038810505709030575,0.031392374785556565
E_DEF_frag2_2A,0.010784776310873455,0.003931378604520851,0.030420294546092134
TS5A,0.00953239045389722,0.003618077821017855,0.026442416064938936
E_POL_TSH2,0.007936939189374994,0.002502480751053367,0.018501071068780583
E_DEF_frag1_TSH2,0.0067172988860925995,0.0024283010064093755,0.014698462862395232
E_int_4A,0.005818674432270208,0.0022572297202824872,0.011446189744410723
E_ES_TS3A,0.00554552253794339,0.0025352046931490725,0.012646892497978185
E_SE_frag2_3A,0.004963235585501289,0.0021955187844574764,0.016792577765358474
E_POL_4A,0.004732311619443665,0.002497902664793776,0.02173599649836423
E_pwx(1)_5A,0.004502649238258165,0.0027243668208459877,0.02009145155632068
E_SE_frag1_4A,0.0044890456612943505,0.0017237101980700977,0.014129289213152508
E_DEF_frag2_H1,0.0041850079280107534,0.0016475415989854593,0.009676344374329056
E_elec_TSH2,0.0028861974003256564,0.0008655850417941219,0.0057232436231912
E_DEF_frag2_3A,0.0026953050868248106,0.0010653121954611797,0.007360276250457599
E_POL_H1,0.002189244049514112,0.0008451892694306896,0.004758224205698364
E_int_5A,0.002145156041219718,0.0006951709605300279,0.006949524878620899
E_CT_TS5A,0.0021056611322297614,0.0007693926214123169,0.005416729650221261
E_SE_frag1_TSH2,0.002076509676163714,0.0005624628496609736,0.00664707019597017
E_DEF_frag1_TS3A,0.0018082366735251499,0.0009437721297884012,0.0051283839774688466
"E_pwx(2,3)_5A",0.0018029282629271526,0.000823766974358657,0.004811989920522561
SUME_pwx_2A,0.001527843872068897,0.0008684932397173586,0.007377385152844743
TSH2,0.0015264315354192926,0.0009366515735297587,0.005605145538612377
E_POL_5A,0.0014864355727894618,0.0009597414560795344,0.0035357562046480296
E_DEF_frag2_TS3A,0.0013965812731815963,0.0006091492699113458,0.0032447432639150335
WBI_4A,0.0013667356409564845,0.0006276598176741534,0.002543965628166986
E_CT_TSH2,0.0013195208092519218,0.00045694652285170677,0.0024150725613291315
Ex_NLMO(1)_5A,0.0012609659142729158,0.0005541150500739761,0.003046516166150239
SUMEx_NLMO_2A,0.0011109595678319617,0.0007221502125239205,0.006092540468831062
E_DEF_frag1_5A,0.0010356100810000313,0.0005137277105978641,0.0013564071846283306
E_POL_H3,0.0008023821665072406,0.00024374479015132474,0.0013797434070228196
Ex_NLMO(1)_TS3A,0.0007800717204944663,0.0004690854865682506,0.002405271308946503
E_SE_frag2_H3,0.0007759808216202346,0.00034049677972839906,0.0044891043421956475
E_SE_frag2_TS5A,0.0007195594894116874,0.00040862464994180823,0.004328267579944164
E_elec_H3,0.0006987713518102324,0.0002844666013774053,0.002457448700349885
4A_5A,0.0006858750069949692,0.0003958752634176437,0.0015041490505564737
E_int_TS5A,0.0006654247742620467,0.00035067786690272796,0.0011548275771464788
E_elec_3A,0.0006494093714301897,0.00027446462271569355,0.001974178048545932
E_pwx(1)_TS3A,0.0005907314501006522,0.0004594162823464485,0.0030665072773825687
E_core_H1,0.0005798557513563707,0.0002995017305610675,0.001958385155070962
barrier_inhibitive,0.0005397909585497374,0.0006735144321920684,0.004764553871538116
E_XC_5A,0.0005015725963587791,0.00017384266791220344,0.0014077136940377354
E_POL_TS5A,0.0004934535863624623,0.00019652743997378012,0.0009748676100936144
E_XC_H1,0.0004699035714341182,0.00017271393044659877,0.000739607513142124
E2_int4A,0.00043323875505819177,0.0005837586059436618,0.002164684268436969
WBI_TS3A,0.0004235294559081559,0.00017540236022777655,0.0018601820149561534
E_int_TSH2,0.0004012860209800229,0.00019538204347797184,0.0017129156480708773
"E_pwx(1,3)_5A",0.00039563423932294396,0.000206225343976407,0.0010928378846591122
Ex_NLMO(3)_5A,0.00039117090517231333,0.0002578668697849162,0.0020124083548191353
5A,0.000344704650899057,0.0003136288393007779,0.002138967049894653
E_int_H1,0.0003355737545038817,0.000154727173854053,0.00043919800731889404
E_XC_TS5A,0.0003182843057428064,0.00023135266728592716,0.0007775965326441733
E_core_H3,0.00029533053055095235,0.00011187406493225076,0.0004816481774839782
"E_pwx(1,2)_3A",0.0002874084052711745,0.00020276184016741793,0.00034037603641769566
E_pwx(1)_2A,0.00027975664070492676,0.00032574340406312815,0.0021671037367320053
E_ES_H3,0.00023679668240842445,0.00022200933271454188,0.0009851039688105875
E_ES_5A,0.00023006768433126102,0.0003308834846535545,0.002151260970016854
E_POL_TS3A,0.00022641485986592215,0.00010968564603713788,0.0004946196330157978
3A,0.0002203470631383997,0.0003195118867915902,0.003711364235306113
E_ES_TS5A,0.00021662325433491114,0.0003912040373093878,0.003198740361970402
E_DEF_frag2_H3,0.00015852936389109117,0.00013650262022472305,0.0004890218269983846
E_core_5A,0.00015480907096400155,0.00034818174261470246,0.002032810710443818
E_elec_TS5A,0.0001495868032993952,0.0001870329815248313,0.000588152127150964
E_DEF_frag2_TS5A,9.648525744828884e-05,8.303681743129699e-05,0.00013667693949039682
E_pwx(1)_3A,9.100573240865994e-05,0.00010206136025033661,0.00020319103406799663
E_CT_TS3A,8.866442439391165e-05,7.894072068573773e-05,0.0002213211745324238
4A,8.21433859409404e-05,0.00013389962794261152,0.0004659928752545021
"E_pwx(1,2)_TS3A",4.165713626740786e-05,6.605178362295855e-05,8.601828035210296e-05
Ex_NLMO(1)_3A,4.1513110340034575e-05,6.895592699244875e-05,0.00016756635162523735
E_SE_frag1_H1,3.3121936359237214e-05,2.8268918289743702e-05,6.9755029604956e-05
E_CT_5A,3.2764694842897236e-05,3.0545819315359386e-05,0.00010871049940051607
E_SE_frag1_TS3A,3.172804561583087e-05,4.0207540239522175e-05,3.985167770033966e-05
"E_pwx(1,2)_2A",2.9652895215392938e-05,6.292121229719621e-05,0.00019214052955289344
E_SE_frag1_2A,2.6608282372755366e-05,5.3370180180782796e-05,4.801304091732866e-05
E_DEF_frag1_H1,2.1902084943623558e-05,2.1122605899510806e-05,5.27499353519475e-05
E_DEF_frag1_TS5A,1.9329963513823323e-05,4.71139773009483e-05,0.00022029959291554834
E_core_4A,1.4190947062786563e-05,0.00010099606210082347,0.00039149454783625215
E_core_TS5A,1.3109156182373738e-05,4.188975131970572e-05,6.023509229763052e-05
E_int_H3,1.2924765699728891e-05,1.9677229940838317e-05,3.5159317484081146e-05
Ex_NLMO(1)_2A,1.2873324471125436e-05,1.6520388469098138e-05,3.540960471756869e-05
E_SE_frag1_TS5A,8.403932453731056e-06,5.6856012832081805e-05,4.626771261407028e-05
E_SE_frag1_H3,5.944270064892621e-06,2.1605183797674272e-05,9.913509328562886e-06
E_DEF_frag1_3A,4.086102298261895e-06,1.701624019970143e-06,1.4662719544532733e-06
E_CT_H1,4.440892098500626e-18,2.1755839288168298e-17,0.0
E_DEF_frag1_4A,0.0,3.14018491736755e-17,0.0
E_elec_H1,-2.220446049250313e-18,1.554312234475219e-17,0.0
E_XC_TSH2,-4.440892098500626e-18,2.1755839288168298e-17,0.0
E_DEF_frag1_H3,-6.661338147750939e-18,2.636633597461006e-17,0.0
2A,-7.714247969747845e-08,1.0899850648813025e-05,4.561069553532525e-06
E_int_TS3A,-2.0271445913988552e-06,2.2773016517781467e-05,1.6856571576144026e-05
E_elec_4A,-2.2024817628785165e-06,4.497708930391852e-05,7.347802284961696e-05
E2_TS3A,-3.190402360329081e-06,1.9439746765093493e-05,9.299606576326479e-06
SUME_pwx_TS3A,-3.903002177081394e-06,7.391598802843742e-06,1.3379165571546023e-05
"E_pwx(1,2)_5A",-4.991907302742682e-06,1.893295380955975e-05,5.545774416467697e-05
E_DEF_frag1_2A,-5.511077549966714e-06,3.215011007524359e-06,6.183777287611696e-06
E2_int3A,-6.873345768894091e-06,1.4842394223661244e-05,1.848802990807283e-05
E_XC_TS3A,-1.9665205277357157e-05,1.558568250391315e-05,1.1225551100442924e-05
E_ES_H1,-2.4271018038792836e-05,0.00015229224349926773,0.0003769756972745326
E_DEF_frag2_4A,-2.9596222153005504e-05,1.7995108113346464e-05,3.551662858342989e-05
E_SE_frag2_5A,-3.1158638334709556e-05,0.00010082205271231999,0.00026847965735325084
TS3A,-4.266695523258646e-05,0.00014675360419270328,0.0007586565545484223
SUMEx_NLMO_TS3A,-5.170834571733618e-05,8.694926181644375e-05,0.0006922550421300094
"E_pwx(1,2)_4A",-6.202697188878225e-05,5.5002752546573634e-05,0.00017353509811708805
Ex_NLMO(1)_4A,-0.00015446696211375067,9.869250967442263e-05,0.00019465595915661444
E_pwx(1)_4A,-0.0001615519818851907,0.00018260173087432762,0.0007334419589337227
